ime,naslov,kraj,ocena,doplacilo,vegetarijansko,dostop_za_invalide,dostava,odprto_ob_vikendih,nov_lokal
GOSTILNA ZLATI LEV - DOSTAVA,"Vodnikov trg 4, 2000 Maribor",MARIBOR,2,2.57,DA,NE,DA,NE,NE
GOSTILNICA & PICERIJA POBREŠKI HRAM,"Osojnikova 20a, 2000 Maribor",MARIBOR,5,3.7,DA,DA,NE,NE,NE
GOSTILNICA GUŠT,"Drevored 1.maja 5, 6310 Izola/Isola",IZOLA/ISOLA,1,4.37,DA,DA,NE,NE,DA
GOSTILNICA IN PIVNICA KATRCA,"Rožna dolina, Cesta I. 26A, 1000 Ljubljana",LJUBLJANA,5,3.87,DA,DA,NE,NE,NE
GOSTILNICA IN PIZZERIJA KRATOCHWILL,"Jurčkova 225, 1000 Ljubljana",LJUBLJANA,4,4.0,DA,NE,NE,NE,NE
GOSTILNICA IN PIZZERIJA KRATOCHWILL,"Šmartinska 152, 1000 Ljubljana",LJUBLJANA,4,4.0,DA,NE,NE,NE,NE
GOSTILNICA NAMANOVA,"Podgorska cesta 2, 2380 Slovenj Gradec",SLOVENJ GRADEC,5,2.67,DA,NE,NE,NE,NE
GOSTIŠČE KUM,"Prešernova cesta 1, 1410 Zagorje ob Savi",ZAGORJE OB SAVI,0,3.17,DA,DA,NE,DA,NE
GOSTIŠČE LOKA,"Župančičevo sprehajališče 2, 8000 Novo mesto",NOVO MESTO,5,3.5,DA,DA,NE,NE,NE
GOSTIŠČE NA TRGU - HIŠA KULINARIKE,"Glavni trg 30, 8000 Novo mesto",NOVO MESTO,0,2.77,DA,NE,NE,NE,NE
GREENY EF,"Kardeljeva ploščad 17, 1000 Ljubljana",LJUBLJANA,3,1.5,DA,NE,NE,NE,DA
GREENY FŠ,"Gortanova 22, 1000 Ljubljana",LJUBLJANA,2,1.5,DA,NE,NE,NE,DA
GURMANSKI HRAM,"Zagrebška cesta 92, 2000 Maribor",MARIBOR,0,2.07,DA,DA,NE,NE,NE
GURMANSKI HRAM - DOSTAVA,"Zagrebška cesta 92, 2000 Maribor",MARIBOR,3,2.07,DA,NE,DA,NE,NE
HALO HONKONG - DOSTAVA,"Litijska 28, 1000 Ljubljana",LJUBLJANA,2,4.2,DA,NE,DA,DA,NE
HALO JANEZ,"Linhartov podhod 39, 1000 Ljubljana",LJUBLJANA,4,3.77,DA,DA,NE,DA,NE
HALO JANEZ - DOSTAVA,"Linhartov podhod 39, 1000 Ljubljana",LJUBLJANA,4,3.77,DA,NE,DA,DA,NE
HALO KATRA,"Njegoševa 6K, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,NE,DA,NE,NE
HALO PINKI,"Pod ježami 14, 1000 Ljubljana",LJUBLJANA,5,3.3,DA,NE,NE,DA,NE
HALO PINKI - DOSTAVA,"Pod ježami 14, 1000 Ljubljana",LJUBLJANA,4,3.9,DA,NE,DA,DA,NE
HALO RDEČE JABOLKO - DOSTAVA,"Tržaška 116, 1000 Ljubljana",LJUBLJANA,4,4.2,DA,NE,DA,DA,NE
HALO SHAOLIN - DOSTAVA,"Hacquetova 5, 1000 Ljubljana",LJUBLJANA,4,4.0,DA,NE,DA,DA,NE
HIŠA POD GRADOM,"Streliška ulica 10, 1000 Ljubljana",LJUBLJANA,4,3.97,DA,NE,NE,NE,NE
HITRA HRANA MARTINA KRPANA,"Šegova ulica 112, 8000 Novo mesto",NOVO MESTO,3,2.07,NE,NE,NE,NE,NE
HONG XIANG,"Cesta v mestni log 55, 1000 Ljubljana",LJUBLJANA,5,2.8,DA,DA,NE,NE,DA
HONG XIANG - DOSTAVA,"Cesta v mestni log 55, 1000 Ljubljana",LJUBLJANA,4,4.0,NE,NE,DA,NE,DA
HOSTEL SITULA,"Dilančeva 1, 8000 Novo mesto",NOVO MESTO,3,2.98,DA,DA,NE,NE,NE
HOT HORSE - BTC,"Šmartinska cesta 152, 1000 Ljubljana",LJUBLJANA,4,3.2,DA,DA,NE,NE,NE
HOT HORSE - TIVOLI,"Celovška cesta 25, 1000 Ljubljana",LJUBLJANA,4,3.2,DA,DA,NE,NE,NE
HOTEL CELEIA,"Mariborska cesta 3, 3000 Celje",CELJE,0,3.5,DA,DA,NE,NE,NE
